1	bn:01854325n	http://dbpedia.org/resource/Love_It	Love_It http://dbpedia.org/resource/Love_It
2	bn:00010469n	[]	[]
3	bn:00469666n	http://dbpedia.org/resource/Guardian_(database)	http://dbpedia.org/resource/Category:Security_databases http://dbpedia.org/resource/Category:Government_databases_in_the_United_States http://dbpedia.org/resource/Category:Federal_Bureau_of_Investigation http://dbpedia.org/resource/Category:United_States_national_security_policy http://dbpedia.org/resource/Guardian_(database) Guardian_(database) http://dbpedia.org/resource/Category:Espionage
4	bn:00028737n	http://dbpedia.org/resource/Military_parade	Military_parade http://dbpedia.org/resource/Category:Military_parades http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/resource/Military_parade
5	bn:00006832n	http://dbpedia.org/resource/Bohrium	http://dbpedia.org/resource/Category:Bohrium http://dbpedia.org/resource/Category:Chemical_elements http://dbpedia.org/resource/Category:Transition_metals http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/resource/Category:Synthetic_elements http://dbpedia.org/resource/Bohrium Bohrium
6	bn:03554936n	http://dbpedia.org/resource/Henrique_Capriles_Radonski	http://schema.org/Person http://dbpedia.org/resource/Category:Venezuelan_people_of_Spanish-Jewish_descent http://dbpedia.org/resource/Henrique_Capriles_Radonski http://dbpedia.org/resource/Category:Presidents_of_the_Chamber_of_Deputies_(Venezuela) http://dbpedia.org/resource/Category:1972_births http://dbpedia.org/resource/Category:Venezuelan_people_of_Polish-Jewish_descent http://dbpedia.org/resource/Category:Venezuelan_Roman_Catholics http://dbpedia.org/resource/Category:Mayors_of_places_in_Venezuela http://dbpedia.org/resource/Category:Politicians_from_Caracas http://dbpedia.org/resource/Category:Andrés_Bello_Catholic_University_alumni http://dbpedia.org/resource/Category:Justice_First_politicians http://dbpedia.org/resource/Category:Living_people http://dbpedia.org/resource/Category:Columbia_University_alumni http://dbpedia.org/ontology/Agent http://dbpedia.org/resource/Category:Central_University_of_Venezuela_alumni http://dbpedia.org/resource/Category:Baruta_Municipality http://dbpedia.org/resource/Category:Venezuelan_people_of_Russian-Jewish_descent http://dbpedia.org/ontology/Person http://dbpedia.org/resource/Category:Governors_of_Miranda_(state) http://dbpedia.org/ontology/OfficeHolder http://dbpedia.org/resource/Category:Venezuelan_people_of_Curaçao_descent Henrique_Capriles_Radonski http://dbpedia.org/resource/Category:Copei_politicians
7	bn:00778952n	http://dbpedia.org/resource/WCVB-TV	http://dbpedia.org/ontology/Organisation http://dbpedia.org/resource/WCVB-TV http://dbpedia.org/ontology/Broadcaster http://dbpedia.org/ontology/Station http://dbpedia.org/resource/Category:Television_channels_and_stations_established_in_1957 http://dbpedia.org/ontology/Agent http://dbpedia.org/resource/Category:Me-TV_affiliates http://dbpedia.org/resource/United_States http://schema.org/Organization http://dbpedia.org/resource/Category:ABC_network_affiliates http://dbpedia.org/resource/Category:Major_League_Baseball_over-the-air_television_broadcasters http://schema.org/TelevisionStation http://dbpedia.org/resource/Category:Television_stations_in_Boston http://dbpedia.org/resource/Category:Hearst_Television WCVB-TV http://dbpedia.org/resource/Category:Peabody_Award_winners http://dbpedia.org/ontology/TelevisionStation http://dbpedia.org/resource/Category:Metromedia
8	bn:00054846n	http://dbpedia.org/resource/Middle_age	http://dbpedia.org/resource/Category:Human_development Middle_age http://dbpedia.org/resource/Middle_age http://dbpedia.org/ontology/Country http://dbpedia.org/resource/Category:Middle_age
9	bn:03355752n	http://dbpedia.org/resource/Outdoor_water-use_restriction	http://dbpedia.org/resource/Outdoor_water-use_restriction http://dbpedia.org/ontology/Person Outdoor_water-use_restriction http://dbpedia.org/resource/Category:Rationing http://dbpedia.org/resource/Category:Water_conservation
10	bn:00009805n	[]	[]
